,name,type,value,date
11346,Nastase,1,0,1973-08-23
11375,Orantes,2,0,1973-08-23
11397,Smith,3,0,1973-08-23
11416,Ashe,4,0,1973-08-23
11442,Laver,5,0,1973-08-23
11466,Rosewall,6,0,1973-08-23
11489,Newcombe,7,0,1973-08-23
11512,Panatta,8,0,1973-08-23
11515,Okker,9,0,1973-08-23
11538,Connors,10,0,1973-08-23
11347,Nastase,1,0,1973-09-13
11490,Newcombe,2,0,1973-09-13
11376,Orantes,3,0,1973-09-13
11398,Smith,4,0,1973-09-13
11776,Kodes,5,0,1973-09-13
11467,Rosewall,6,0,1973-09-13
11417,Ashe,7,0,1973-09-13
11516,Okker,8,0,1973-09-13
11443,Laver,9,0,1973-09-13
11539,Connors,10,0,1973-09-13
11348,Nastase,1,0,1973-09-26
11491,Newcombe,2,0,1973-09-26
11377,Orantes,3,0,1973-09-26
11399,Smith,4,0,1973-09-26
11540,Connors,5,0,1973-09-26
11517,Okker,6,0,1973-09-26
11468,Rosewall,7,0,1973-09-26
11777,Kodes,8,0,1973-09-26
11418,Ashe,9,0,1973-09-26
11444,Laver,10,0,1973-09-26
11349,Nastase,1,0,1973-10-15
11492,Newcombe,2,0,1973-10-15
11541,Connors,3,0,1973-10-15
11378,Orantes,4,0,1973-10-15
11400,Smith,5,0,1973-10-15
11518,Okker,6,0,1973-10-15
11469,Rosewall,7,0,1973-10-15
11778,Kodes,8,0,1973-10-15
11419,Ashe,9,0,1973-10-15
11445,Laver,10,0,1973-10-15
11350,Nastase,1,0,1973-10-31
11493,Newcombe,2,0,1973-10-31
11379,Orantes,3,0,1973-10-31
11542,Connors,4,0,1973-10-31
11519,Okker,5,0,1973-10-31
11401,Smith,6,0,1973-10-31
11470,Rosewall,7,0,1973-10-31
11779,Kodes,8,0,1973-10-31
11420,Ashe,9,0,1973-10-31
11446,Laver,10,0,1973-10-31
11351,Nastase,1,0,1973-11-26
11494,Newcombe,2,0,1973-11-26
11543,Connors,3,0,1973-11-26
11520,Okker,4,0,1973-11-26
11402,Smith,5,0,1973-11-26
11380,Orantes,6,0,1973-11-26
11471,Rosewall,7,0,1973-11-26
11447,Laver,8,0,1973-11-26
11780,Kodes,9,0,1973-11-26
11421,Ashe,10,0,1973-11-26
11352,Nastase,1,0,1973-12-14
11495,Newcombe,2,0,1973-12-14
11544,Connors,3,0,1973-12-14
11521,Okker,4,0,1973-12-14
11403,Smith,5,0,1973-12-14
11472,Rosewall,6,0,1973-12-14
11381,Orantes,7,0,1973-12-14
11448,Laver,8,0,1973-12-14
11781,Kodes,9,0,1973-12-14
11422,Ashe,10,0,1973-12-14
11353,Nastase,1,0,1974-03-02
11496,Newcombe,2,0,1974-03-02
11522,Okker,3,0,1974-03-02
11545,Connors,4,0,1974-03-02
11473,Rosewall,5,0,1974-03-02
11423,Ashe,6,0,1974-03-02
11404,Smith,7,0,1974-03-02
11782,Kodes,8,0,1974-03-02
11449,Laver,9,0,1974-03-02
11382,Orantes,10,0,1974-03-02
11354,Nastase,1,0,1974-04-19
11497,Newcombe,2,0,1974-04-19
11523,Okker,3,0,1974-04-19
11546,Connors,4,0,1974-04-19
11424,Ashe,5,0,1974-04-19
11474,Rosewall,6,0,1974-04-19
11450,Laver,7,0,1974-04-19
11405,Smith,8,0,1974-04-19
11783,Kodes,9,0,1974-04-19
11383,Orantes,10,0,1974-04-19
11355,Nastase,1,0,1974-05-01
11498,Newcombe,2,0,1974-05-01
11524,Okker,3,0,1974-05-01
11547,Connors,4,0,1974-05-01
11425,Ashe,5,0,1974-05-01
11451,Laver,6,0,1974-05-01
11406,Smith,7,0,1974-05-01
11784,Kodes,8,0,1974-05-01
11384,Orantes,9,0,1974-05-01
11785,Gorman,10,0,1974-05-01
11499,Newcombe,1,0,1974-06-03
11548,Connors,2,0,1974-06-03
11356,Nastase,3,0,1974-06-03
11525,Okker,4,0,1974-06-03
11452,Laver,5,0,1974-06-03
11426,Ashe,6,0,1974-06-03
11407,Smith,7,0,1974-06-03
11787,Borg,8,0,1974-06-03
11810,Metreveli,9,0,1974-06-03
11786,Gorman,10,0,1974-06-03
11549,Connors,1,0,1974-07-29
11500,Newcombe,2,0,1974-07-29
11526,Okker,3,0,1974-07-29
11453,Laver,4,0,1974-07-29
11408,Smith,5,0,1974-07-29
11357,Nastase,6,0,1974-07-29
11475,Rosewall,7,0,1974-07-29
11427,Ashe,8,0,1974-07-29
11788,Borg,9,0,1974-07-29
11385,Orantes,10,0,1974-07-29
11550,Connors,1,0,1974-08-09
11501,Newcombe,2,0,1974-08-09
11454,Laver,3,0,1974-08-09
11409,Smith,4,0,1974-08-09
11527,Okker,5,0,1974-08-09
11476,Rosewall,6,0,1974-08-09
11358,Nastase,7,0,1974-08-09
11789,Borg,8,0,1974-08-09
11428,Ashe,9,0,1974-08-09
11811,Vilas,10,0,1974-08-09
11551,Connors,1,0,1974-09-04
11502,Newcombe,2,0,1974-09-04
11455,Laver,3,0,1974-09-04
11528,Okker,4,0,1974-09-04
11410,Smith,5,0,1974-09-04
11790,Borg,6,0,1974-09-04
11359,Nastase,7,0,1974-09-04
11477,Rosewall,8,0,1974-09-04
11812,Vilas,9,0,1974-09-04
11429,Ashe,10,0,1974-09-04
11552,Connors,1,0,1974-09-27
11503,Newcombe,2,0,1974-09-27
11456,Laver,3,0,1974-09-27
11791,Borg,4,0,1974-09-27
11529,Okker,5,0,1974-09-27
11411,Smith,6,0,1974-09-27
11478,Rosewall,7,0,1974-09-27
11430,Ashe,8,0,1974-09-27
11360,Nastase,9,0,1974-09-27
11813,Vilas,10,0,1974-09-27
11553,Connors,1,0,1974-11-06
11504,Newcombe,2,0,1974-11-06
11457,Laver,3,0,1974-11-06
11792,Borg,4,0,1974-11-06
11530,Okker,5,0,1974-11-06
11361,Nastase,6,0,1974-11-06
11412,Smith,7,0,1974-11-06
11431,Ashe,8,0,1974-11-06
11814,Vilas,9,0,1974-11-06
11479,Rosewall,10,0,1974-11-06
11554,Connors,1,0,1974-12-20
11505,Newcombe,2,0,1974-12-20
11793,Borg,3,0,1974-12-20
11458,Laver,4,0,1974-12-20
11815,Vilas,5,0,1974-12-20
11531,Okker,6,0,1974-12-20
11432,Ashe,7,0,1974-12-20
11413,Smith,8,0,1974-12-20
11480,Rosewall,9,0,1974-12-20
11362,Nastase,10,0,1974-12-20
11555,Connors,1,0,1975-01-17
11506,Newcombe,2,0,1975-01-17
11794,Borg,3,0,1975-01-17
11459,Laver,4,0,1975-01-17
11816,Vilas,5,0,1975-01-17
11532,Okker,6,0,1975-01-17
11433,Ashe,7,0,1975-01-17
11481,Rosewall,8,0,1975-01-17
11414,Smith,9,0,1975-01-17
11363,Nastase,10,0,1975-01-17
11556,Connors,1,0,1975-03-05
11507,Newcombe,2,0,1975-03-05
11795,Borg,3,0,1975-03-05
11460,Laver,4,0,1975-03-05
11817,Vilas,5,0,1975-03-05
11482,Rosewall,6,0,1975-03-05
11434,Ashe,7,0,1975-03-05
11533,Okker,8,0,1975-03-05
11364,Nastase,9,0,1975-03-05
11415,Smith,10,0,1975-03-05
11557,Connors,1,0,1975-04-08
11796,Borg,2,0,1975-04-08
11461,Laver,3,0,1975-04-08
11508,Newcombe,4,0,1975-04-08
11818,Vilas,5,0,1975-04-08
11483,Rosewall,6,0,1975-04-08
11365,Nastase,7,0,1975-04-08
11435,Ashe,8,0,1975-04-08
11534,Okker,9,0,1975-04-08
11386,Orantes,10,0,1975-04-08
11558,Connors,1,0,1975-04-30
11484,Rosewall,2,0,1975-04-30
11819,Vilas,2,0,1975-04-30
11509,Newcombe,4,0,1975-04-30
11797,Borg,5,0,1975-04-30
11462,Laver,6,0,1975-04-30
11366,Nastase,7,0,1975-04-30
11436,Ashe,8,0,1975-04-30
11535,Okker,9,0,1975-04-30
11387,Orantes,10,0,1975-04-30
11559,Connors,1,0,1975-06-02
11485,Rosewall,2,0,1975-06-02
11820,Vilas,3,0,1975-06-02
11798,Borg,4,0,1975-06-02
